Year,Unit,Group,Value
2015,1_vic_100,1_all_a,0.26
2016,1_vic_100,1_all_a,0.20
2017,1_vic_100,1_all_a,0.73
2018,1_vic_100,1_all_a,0.55
2019,1_vic_100,1_all_a,0.63
2020,1_vic_100,1_all_a,0.37
2021,1_vic_100,1_all_a,0.39
2022,1_vic_100,1_all_a,0.16
2023,1_vic_100,1_all_a,0.22
2015,2_vic_149,1_all_a,113
2016,2_vic_149,1_all_a,86
2017,2_vic_149,1_all_a,309
2018,2_vic_149,1_all_a,231
2019,2_vic_149,1_all_a,262
2020,2_vic_149,1_all_a,152
2021,2_vic_149,1_all_a,163
2022,2_vic_149,1_all_a,66
2023,2_vic_149,1_all_a,91
2015,2_vic_149,2_females,78
2016,2_vic_149,2_females,66
2017,2_vic_149,2_females,130
2018,2_vic_149,2_females,127
2019,2_vic_149,2_females,107
2020,2_vic_149,2_females,64
2021,2_vic_149,2_females,49
2022,2_vic_149,2_females,36
2023,2_vic_149,2_females,30
2015,2_vic_149,3_adolescents,6
2016,2_vic_149,3_adolescents,2
2017,2_vic_149,3_adolescents,8
2018,2_vic_149,3_adolescents,11
2019,2_vic_149,3_adolescents,8
2020,2_vic_149,3_adolescents,
2021,2_vic_149,3_adolescents,9
2022,2_vic_149,3_adolescents,5
2023,2_vic_149,3_adolescents,6
2015,2_vic_149,4_young,1
2016,2_vic_149,4_young,2
2017,2_vic_149,4_young,11
2018,2_vic_149,4_young,12
2019,2_vic_149,4_young,2
2020,2_vic_149,4_young,1
2021,2_vic_149,4_young,17
2022,2_vic_149,4_young,7
2023,2_vic_149,4_young,10
