Year,Type of residence,Decile groups,Value
2015,,,54.6
2016,,,51.4
2017,,,49.6
2018,,,49.4
2019,,,48.5
2020,,,49.2
2021,,,47.1
2022,,,
2023,,,
2015,urban,,53.5
2016,urban,,50.3
2017,urban,,48.7
2018,urban,,48.4
2019,urban,,47.1
2020,urban,,47.4
2021,urban,,45.6
2022,urban,,
2023,urban,,
2015,rural,,57.2
2016,rural,,53.9
2017,rural,,51.7
2018,rural,,51.7
2019,rural,,51.4
2020,rural,,52.7
2021,rural,,50.0
2022,rural,,
2023,rural,,
2015,,1st group (low income),63.0
2016,,1st group (low income),59.2
2017,,1st group (low income),59.6
2018,,1st group (low income),58.9
2019,,1st group (low income),60.0
2020,,1st group (low income),59.2
2021,,1st group (low income),57.8
2022,,1st group (low income),
2023,,1st group (low income),
2015,,2nd group,61.6
2016,,2nd group,57.7
2017,,2nd group,55.8
2018,,2nd group,56.7
2019,,2nd group,56.0
2020,,2nd group,57.3
2021,,2nd group,55.1
2022,,2nd group,
2023,,2nd group,
2015,,3rd group,59.4
2016,,3rd group,56.3
2017,,3rd group,53.7
2018,,3rd group,53.8
2019,,3rd group,54.7
2020,,3rd group,55.9
2021,,3rd group,52.7
2022,,3rd group,
2023,,3rd group,
2015,,4th group,57.2
2016,,4th group,55.9
2017,,4th group,52.7
2018,,4th group,54.3
2019,,4th group,53.4
2020,,4th group,53.0
2021,,4th group,49.9
2022,,4th group,
2023,,4th group,
2015,,5th group,58.8
2016,,5th group,54.0
2017,,5th group,51.6
2018,,5th group,52.1
2019,,5th group,52.8
2020,,5th group,52.3
2021,,5th group,51.2
2022,,5th group,
2023,,5th group,
2015,,6th group,56.2
2016,,6th group,53.2
2017,,6th group,51.0
2018,,6th group,49.9
2019,,6th group,49.4
2020,,6th group,50.6
2021,,6th group,49.9
2022,,6th group,
2023,,6th group,
2015,,7th group,55.9
2016,,7th group,48.8
2017,,7th group,52.0
2018,,7th group,49.9
2019,,7th group,48.3
2020,,7th group,49.8
2021,,7th group,45.8
2022,,7th group,
2023,,7th group,
2015,,8th group,53.4
2016,,8th group,49.6
2017,,8th group,48.9
2018,,8th group,46.6
2019,,8th group,47.4
2020,,8th group,46.7
2021,,8th group,46.0
2022,,8th group,
2023,,8th group,
2015,,9th group,51.7
2016,,9th group,48.5
2017,,9th group,45.9
2018,,9th group,47.5
2019,,9th group,43.6
2020,,9th group,46.6
2021,,9th group,42.1
2022,,9th group,
2023,,9th group,
2015,,10th group (high income),43.5
2016,,10th group (high income),43.0
2017,,10th group (high income),39.5
2018,,10th group (high income),40.1
2019,,10th group (high income),38.0
2020,,10th group (high income),37.6
2021,,10th group (high income),36.7
2022,,10th group (high income),
2023,,10th group (high income),
