Year,за джерелами фінансування,Value
2017,,0.878
2018,,0.841
2019,,1.015
2020,,0.924
2021,,0.847
2022,,0.837
2023,,0.671
2017,з державного бюджету,0.565
2018,з державного бюджету,0.507
2019,з державного бюджету,0.618
2020,з державного бюджету,0.558
2021,з державного бюджету,0.503
2022,з державного бюджету,0.539
2023,з державного бюджету,0.39
2017,кошти фізичних та юридичних осіб,0.313
2018,кошти фізичних та юридичних осіб,0.334
2019,кошти фізичних та юридичних осіб,0.397
2020,кошти фізичних та юридичних осіб,0.366
2021,кошти фізичних та юридичних осіб,0.344
2022,кошти фізичних та юридичних осіб,0.298
2023,кошти фізичних та юридичних осіб,0.281
