Year,Стать,Місцевість проживання,за типом закладу освіти,за соціально-економічним статусом,Галузь,Value
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
2023,жінки,,,,,19.02
2024,жінки,,,,,22.76
2023,чоловіки,,,,,16.17
2024,чоловіки,,,,,18.49
2023,,міська,,,,28.35
2024,,міська,,,,31.7
2023,,сільська,,,,6.84
2024,,сільська,,,,10.15
2023,,,ліцей,,,18.46
2024,,,ліцей,,,20.75
2023,,,гімназія,,,4.75
2024,,,гімназія,,,9.94
2023,,,заклади загальної середньої освіти (ЗЗСО),,,4.56
2024,,,заклади загальної середньої освіти (ЗЗСО),,,4.95
2023,,,інші,,,7.42
2024,,,інші,,,6.21
2023,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,12.4
2024,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,15.87
2023,,,,наявність власного простору (кімнати чи робочого місця),,15.18
2024,,,,наявність власного простору (кімнати чи робочого місця),,19.39
2023,,,,,математика 6-й клас,28.0
2024,,,,,математика 6-й клас,34.98
2023,,,,,математика 8-й клас,45.0
2024,,,,,математика 8-й клас,41.55
2023,,,,,українська мова 6-й клас,34.0
2024,,,,,українська мова 6-й клас,40.9
2023,,,,,українська мова 8-й клас,37.0
2024,,,,,українська мова 8-й клас,50.66
